Province/City,Latitude,Longitude
Hà Nội,21.0285,105.8542
Hồ Chí Minh,10.8231,106.6297
Đà Nẵng,16.0471,108.2068
Hải Phòng,20.8449,106.6881
Cần Thơ,10.0452,105.7469
An Giang,10.5208,105.1259
Bà Rịa - Vũng Tàu,10.5417,107.2429
Bắc Giang,21.2739,106.1947
Bắc Kạn,22.1474,105.8348
Bạc Liêu,9.2949,105.7243
Bắc Ninh,21.1821,106.0385
Bến Tre,10.2334,106.3758
Bình Dương,11.3254,106.3636
Bình Định,13.7827,109.2192
Bình Phước,11.7028,106.888
Bình Thuận,10.9804,108.2615
Cà Mau,9.1762,105.1524
Cao Bằng,22.6653,106.2579
Đắk Lắk,12.6662,108.0383
Đắk Nông,12.0058,107.6928
Điện Biên,21.386,103.0164
Đồng Nai,10.9473,106.7359
Đồng Tháp,10.5369,105.648
Gia Lai,13.9735,108.0151
Hà Giang,22.8233,104.9836
Hà Nam,20.5835,105.92299
Hà Tĩnh,18.3352,105.9039
Hải Dương,20.9351,106.3183
Hậu Giang,9.7848,105.4701
Hòa Bình,20.8232,105.3387
Hưng Yên,20.646,106.0511
Khánh Hòa,12.2388,109.1967
Kiên Giang,10.0159,105.0809
Kon Tum,14.3545,108.0076
Lai Châu,22.4014,103.4698
Lâm Đồng,11.9416,108.4583
Lạng Sơn,21.8526,106.7615
Lào Cai,22.4856,103.9705
Long An,10.5352,106.4122
Nam Định,20.4275,106.177
Nghệ An,18.673,105.6924
Ninh Bình,20.2509,105.9744
Ninh Thuận,11.5679,108.9886
Phú Thọ,21.3226,105.401
Phú Yên,13.0884,109.0929
Quảng Bình,17.6103,106.3487
Quảng Nam,15.8794,108.335
Quảng Ngãi,15.1205,108.7924
Quảng Ninh,20.9511,107.0802
Quảng Trị,16.75,107.1962
Sóc Trăng,9.6032,105.9801
Sơn La,21.3285,103.9144
Tây Ninh,11.3102,106.0986
Thái Bình,20.4489,106.3423
Thái Nguyên,21.5942,105.848
Thanh Hóa,19.8067,105.7762
Thừa Thiên Huế,16.4498,107.5623
Tiền Giang,10.4493,106.3439
Trà Vinh,9.9478,106.3459
Tuyên Quang,21.8238,105.2188
Vĩnh Long,10.2369,105.9572
Vĩnh Phúc,21.3088,105.6044
Yên Bái,21.7167,104.8984
